postId,url,time,text,likes,shares,comments,isVideo,viewsCount
879502700878093,https://www.facebook.com/maxfashions/posts/pfbid0MC9ovw912htSqrfh9gNEesqgRo9AN2EZGxNmv2wBJdhxD436t64xw9cU3LYz8Ja1l,2024-07-10T13:28:51.000Z,ever felt like outfit could take adventure sitting pretty anime coolness leather flair outfit got vibe discover fresh new pick nearest max fashion store maxfashion kidswear kid fashion anime play date look new drop,23,3,2.0,False,
879323584229338,https://www.facebook.com/maxfashions/posts/pfbid037CW1zG9eXELyS7wPFeBoULANNg9gg159x5m7iHZfAML57fNzVNKbyE6HPZAVQXFgl,2024-07-10T07:09:13.000Z,move little explorer printed shirt toy car ready conquer road explore fresh new pick nearest max fashion store maxfashion kidswear kid fashion print tee new drop,17,0,2.0,False,
878870047608025,https://www.facebook.com/maxfashions/posts/pfbid0TyxtKkiJjFQHksBUQE2gBbzXnWEPk6z13Zy6hCEQ6XgjUJUk9n7AmUR7TesZ8ZGbl,2024-07-09T12:31:47.000Z,know going good day look includes floral crochet dress sunglass hat totally maxfashion kidswear new drop kid fashion dress accessory,24,1,4.0,False,
878297777665252,https://www.facebook.com/maxfashions/posts/pfbid033DCEeFG65G9b99YHGT6LxDW8pduefqo2RBecKE4g7tDGWEuY9HeD3wTTtFuwEx7gl,2024-07-08T13:44:03.000Z,small detail big fashion vibe guess full look check tapping maxfashionindia maxfashion denimwear new drop stay tuned coming soon,156,1,10.0,False,
878296490998714,https://www.facebook.com/maxfashions/posts/pfbid02ZK2bdKMSRTpj9TWQLZsehT4bLHWXPV4Sitvnfdo4KZvJ2zavZ1frDX4iJLpvnjdtl,2024-07-08T13:42:12.000Z,denim daydream coolest crew around maxfashion kidswear new drop denim kid fashion,138,2,34.0,False,
878296014332095,https://www.facebook.com/maxfashions/posts/pfbid02R3NrMCZH2TjXU4wMj9UTYzYmAT9eKhUnqo235GTG5fkYcyMjAKdLtG19pt8qRZS5l,2024-07-08T13:41:23.000Z,nature backdrop setting scene next big denim reveal stay tuned something new stylish coming way maxfashion new drop stay tuned coming soon,138,0,,False,
877639254397771,https://www.facebook.com/reel/1967394377056743/,2024-07-07T12:41:45.000Z,cant get better thisthe deal max mania sale checked yetrush nearest max fashion todaymaxfashion maxmaniasale,375,1,5.0,True,25987.0
877440847750945,https://www.facebook.com/reel/3753739184945614/,2024-07-07T05:02:07.000Z,wouldnt flaunt amazing steal check em nearest max fashion store maxfashion maxmaniasale end season sale woman fashion men fashion price drop alert,1862,4,13.0,True,190346.0
876812164480480,https://www.facebook.com/reel/3438632533102372/,2024-07-06T05:35:24.000Z,got exciting weekend plan take notch higher fit match vibe quirky print effortless look grab favorite 399 yep heard right head nearest max fashion store weekend maxfashion maxmaniasale end season sale men fashion closet musthaves price drop alert,1172,0,2.0,True,38785.0
876239784537718,https://www.facebook.com/reel/1118396520002287/,2024-07-05T09:47:51.000Z,hey look found max mania sale insane deal 399 waiting here catch wrapping party soon need get couch head nearest max fashion store right dont let amazing deal slip away maxfashion maxmaniasale end season sale woman fashion men fashion price drop alert,19,0,1.0,True,961.0
